service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Compute Engine,Commitment v1: E2 Cpu in Americas for 3 Year,1460.0,us-central1,6F81-5844-456A,B4E1-097C-1E0A,14.33021,
Compute Engine,Commitment v1: E2 Ram in Americas for 3 Year,5840.0,us-central1,6F81-5844-456A,D86D-BE56-C7EB,7.68304,
Compute Engine,Balanced PD Capacity,40.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,4,
Compute Engine,Commitment v1: E2 Cpu in Americas for 3 Year,730.0,us-central1,6F81-5844-456A,B4E1-097C-1E0A,7.16511,
Compute Engine,Commitment v1: E2 Ram in Americas for 3 Year,2920.0,us-central1,6F81-5844-456A,D86D-BE56-C7EB,3.84152,
Compute Engine,Balanced PD Capacity,20.0,us-central1,6F81-5844-456A,6AE1-525F-8B80,2,
,,,,,,,
,,,,,Total Price:,39.01988,
,,,,,,,
"Prices are in US dollars, effective date is 2024-10-13T06:26:39.828Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVEyTWpabFpUUmlZUzB6TlRSakxUUXdNREV0T1RjMk55MWhOalJtTVRBME1UTTJOVFFRQVE9PRokREFCRjI5NjEtQzE4Ri00MTM2LTkxMzctMjlDQTZFNjFGNzhF,,,,,,